7,7
626.0,317.0,0.0
724.0,281.0,0.0
831.0,271.0,0.0
953.0,254.0,0.0
1114.0,252.0,0.0
1264.0,267.0,0.0
1383.0,293.0,0.0
615.0,445.0,0.0
733.0,450.0,0.0
848.0,400.0,0.0
967.0,398.0,0.0
1101.0,359.0,0.0
1231.0,386.0,0.0
1392.0,375.0,0.0
613.0,509.0,0.0
736.0,551.0,0.0
865.0,517.0,0.0
993.0,495.0,0.0
1116.0,466.0,0.0
1257.0,482.0,0.0
1399.0,499.0,0.0
610.0,619.0,0.0
711.0,722.0,0.0
902.0,640.0,0.0
1022.0,593.0,0.0
1138.0,591.0,0.0
1318.0,694.0,0.0
1448.0,690.0,0.0
612.0,724.0,0.0
700.0,798.0,0.0
910.0,736.0,0.0
1045.0,671.0,0.0
1156.0,688.0,0.0
1329.0,766.0,0.0
1430.0,774.0,0.0
611.0,815.0,0.0
705.0,865.0,0.0
875.0,860.0,0.0
1017.0,853.0,0.0
1177.0,865.0,0.0
1383.0,941.0,0.0
1453.0,852.0,0.0
624.0,915.0,0.0
742.0,953.0,0.0
858.0,944.0,0.0
1008.0,953.0,0.0
1137.0,973.0,0.0
1328.0,1005.0,0.0
1429.0,1001.0,0.0
